,name,label,predict
396,ca-certificates,工具,服务
397,cachefilesd,服务,服务
399,cairo-gobject,库,库
400,cairomm,库,工具
401,cal10n,库,库
402,cal10n-javadoc,库,工具
403,maven-cal10n-plugin,库,工具
404,c-ares,库,库
405,cdi-api,库,库
406,cdi-api-javadoc,库,库
407,cdparanoia,工具,工具
408,cdparanoia-libs,库,库
409,cdrdao,工具,库
410,dirsplit,库,库
411,genisoimage,库,服务
412,icedax,库,工具
413,libusal,库,工具
414,wodim,库,工具
415,celt051,库,库
416,libcephfs2,库,库
417,librados2,库,服务
418,libradosstriper1,库,工具
419,librbd1,库,服务
421,cgdcbxd,服务,服务
422,cglib,库,库
423,cglib-javadoc,库,库
424,chan,库,库
425,check,工具,工具
426,checkpolicy,工具,工具
427,cheese,工具,库
428,cheese-libs,库,库
429,chkconfig,工具,工具
430,ntsysv,工具,服务
431,chrome-gnome-shell,工具,服务
432,chrony,服务,服务
433,chrpath,工具,工具
434,cifs-utils,工具,服务
435,pam_cifscreds,工具,服务
436,cim-schema,服务,库
437,cjose,库,库
438,clang,工具,库
439,clang-analyzer,工具,工具
440,clang-libs,库,库
441,clang-resource-filesystem,库,库
442,clang-tools-extra,库,库
443,git-clang-format,库,工具
444,python3-clang,库,工具
445,cldr-emoji-annotation,工具,库
446,clevis,工具,工具
447,clevis-dracut,工具,服务
448,clevis-luks,工具,工具
449,clevis-systemd,工具,工具
450,clevis-udisks2,工具,服务
451,cloud-init,服务,工具
452,cloud-utils-growpart,工具,工具
453,clucene-contribs-lib,库,库
454,clucene-core,库,库
455,clufter-bin,工具,库
456,clufter-cli,工具,库
457,clufter-common,工具,库
458,clufter-lib-ccs,库,服务
459,clufter-lib-general,库,工具
460,clufter-lib-pcs,库,服务
461,python3-clufter,库,库
462,clutter,工具,工具
463,clutter-gst2,库,工具
464,clutter-gst3,库,工具
465,clutter-gtk,库,库
466,cmake,工具,服务
467,cmake-data,工具,库
468,cmake-filesystem,工具,库
469,cmake-gui,工具,库
470,cmake-rpm-macros,工具,服务
471,libcmocka,库,工具
472,cockpit,库,服务
473,cockpit-bridge,工具,库
474,cockpit-system,库,服务
475,cockpit-ws,服务,服务
476,cockpit-machines,库,服务
477,cockpit-packagekit,库,服务
478,cockpit-pcp,库,服务
479,cockpit-storaged,库,库
480,cockpit-composer,库,库
482,cockpit-session-recording,库,服务
483,codemodel,库,库
484,cogl,库,库
485,colord,服务,服务
486,colord-devel-docs,库,服务
487,colord-libs,库,库
488,colord-gtk,库,库
489,color-filesystem,库,工具
490,compat-exiv2-026,库,库
491,compat-guile18,工具,库
492,compat-libgfortran-48,库,库
493,compat-libtiff3,库,库
494,compat-openssl10,库,工具
495,compiler-rt,工具,库
496,conmon,库,库
497,conntrack-tools,工具,服务
498,containerd,服务,服务
500,container-exception-logger,服务,工具
501,containernetworking-plugins,服务,服务
502,aardvark-dns,服务,库
504,container-selinux,库,工具
505,convmv,工具,库
506,copy-jdk-configs,工具,工具
507,coreos-installer,工具,工具
508,coreos-installer-bootinfra,工具,库
509,coreos-installer-dracut,工具,其它
510,coreutils,工具,工具
511,coreutils-common,工具,工具
512,coreutils-single,工具,工具
514,corosynclib,库,库
515,corosync-vqsim,库,服务
516,spausedd,服务,服务
517,corosync-qdevice,服务,服务
518,corosync-qnetd,服务,服务
519,cpio,工具,服务
520,cppcheck,工具,库
521,cppunit,库,工具
522,cracklib,库,库
523,cracklib-dicts,库,库
524,crash,工具,工具
525,crash-gcore-command,工具,库
526,crash-ptdump-command,工具,库
527,crash-trace-command,工具,工具
528,crda,服务,服务
529,createrepo_c,工具,库
530,createrepo_c-libs,库,工具
531,python3-createrepo_c,库,库
532,cri-tools,工具,库
533,crit,库,库
534,criu,工具,库
535,python3-criu,库,库
536,criu-libs,库,库
537,cronie,服务,服务
538,cronie-anacron,服务,服务
539,cronie-noanacron,服务,工具
540,crontabs,工具,工具
541,crun,库,库
542,crypto-policies,工具,库
543,crypto-policies-scripts,工具,工具
544,cryptsetup,工具,服务
545,cryptsetup-libs,库,服务
546,cryptsetup-reencrypt,工具,服务
547,integritysetup,工具,服务
548,veritysetup,工具,服务
549,cscope,工具,工具
550,ctags,工具,工具
551,ctags-etags,工具,工具
552,culmus-aharoni-clm-fonts,其它,其它
553,culmus-caladings-clm-fonts,其它,其它
554,culmus-david-clm-fonts,其它,其它
555,culmus-drugulin-clm-fonts,其它,其它
556,culmus-ellinia-clm-fonts,其它,其它
557,culmus-fonts-common,其它,其它
558,culmus-frank-ruehl-clm-fonts,其它,其它
559,culmus-hadasim-clm-fonts,其它,其它
560,culmus-keteryg-fonts,其它,其它
561,culmus-miriam-clm-fonts,其它,其它
562,culmus-miriam-mono-clm-fonts,其它,其它
563,culmus-nachlieli-clm-fonts,其它,其它
565,culmus-simple-clm-fonts,其它,其它
566,culmus-stamashkenaz-clm-fonts,其它,其它
567,culmus-stamsefarad-clm-fonts,其它,其它
568,culmus-yehuda-clm-fonts,其它,其它
569,CUnit,库,工具
570,cups,服务,工具
571,cups-client,工具,服务
572,cups-filesystem,服务,服务
573,cups-ipptool,工具,服务
574,cups-libs,库,库
575,cups-lpd,服务,服务
576,cups-filters,库,工具
577,cups-filters-libs,库,服务
578,cups-pk-helper,库,库
579,curl,工具,库
580,libcurl,库,库
581,libcurl-minimal,工具,服务
582,custodia,服务,服务
583,python3-custodia,库,库
584,cyrus-imapd,服务,库
585,cyrus-imapd-utils,工具,工具
586,cyrus-imapd-vzic,工具,库
587,cyrus-sasl,库,服务
588,cyrus-sasl-gs2,库,服务
589,cyrus-sasl-gssapi,库,服务
590,cyrus-sasl-ldap,库,服务
591,cyrus-sasl-lib,库,服务
592,cyrus-sasl-md5,库,服务
593,cyrus-sasl-ntlm,库,服务
594,cyrus-sasl-plain,库,服务
595,cyrus-sasl-scram,库,服务
596,cyrus-sasl-sql,库,服务
597,python3-Cython,库,库
598,python2-Cython,库,库
599,python38-Cython,库,库
600,python39-Cython,库,库
601,dav1d,工具,库
602,libdav1d,库,库
603,dblatex,工具,工具
604,dbus,其它,工具
606,dbus-daemon,其它,工具
607,dbus-libs,库,库
608,dbus-tools,工具,服务
609,dbus-x11,工具,工具
610,dbus-c++,库,库
611,dbus-c++-glib,库,库
612,dbus-glib,库,库
613,dbusmenu-qt5,库,库
614,python3-dbus,库,库
615,dbxtool,工具,服务
617,dconf-editor,工具,库
618,dcraw,工具,工具
619,dde,服务,服务
620,dde-account-faces,服务,服务
621,dde-api,服务,工具
622,dde-calendar,服务,服务
624,dde-control-center,服务,服务
625,dde-daemon,服务,服务
626,dde-device-formatter,服务,服务
627,dde-dock,服务,库
628,dde-dock-onboard-plugin,服务,服务
629,dde-desktop,服务,服务
630,dde-disk-mount-plugin,服务,库
631,dde-file-manager,服务,服务
632,libdde-file-manager,库,库
633,dde-kwin,服务,库
634,dde-launcher,服务,服务
635,dde-network-utils,服务,服务
