out,in
perl-DateTime-Format-Builder,perl-interpreter
gvfs-goa,bash
gedit-plugin-bookmarks,libpeas-gtk
cups,grep
imlib2-id3tag-loader,imlib2
git-svn,perl-libs
maven-filtering,javapackages-filesystem
fuse-overlayfs,fuse3
libmemcached-libs,glibc
libpagemaker,libgcc
shadow-utils-subid,libselinux
shadow-utils,libattr
java-11-alibaba-dragonwell-devel-slowdebug,java-11-alibaba-dragonwell-slowdebug
openssh-server,freeradius
perl-POSIX,perl-libs
gcc-toolset-9-elfutils,gcc-toolset-10-elfutils-libs
mingw32-libtiff,mingw32-gcc
python3-babel,platform-python
perl-Pod-LaTeX,perl-Pod-Usage
openscap,dbus
fdo-rendezvous-server,tpm2-tss
java-11-openjdk-headless-fastdebug,zlib
java-17-openjdk-headless-fastdebug,zlib
pacemaker-remote,pam
samba-winexe,samba-common-libs
xorg-x11-server-Xnest,xorg-x11-server-common
gvfs-smb,bash
gedit-plugin-wordcompletion,gedit-plugins-data
perl-DBD-SQLite,glibc
guile,readline
fence-agents-lpar,platform-python
opa-address-resolution,libibumad
perl-POSIX,perl-Carp
mockito,hamcrest-core
dde-daemon,glib2
gdm,audit-libs
webkit2gtk3,zlib
gcc-toolset-10-systemtap-server,glibc
gcc-toolset-11-systemtap-server,glibc
perl-PathTools,perl-Scalar-List-Utils
gcc-toolset-11-systemtap-client,glibc
gcc-toolset-10-systemtap-client,glibc
poppler-qt5,freetype
maven-lib,geronimo-annotation
dde-daemon,glibc
icedtea-web,java-1.8.0-openjdk
system-lsb-core,libgcc
mpv-libs,libass
gcc-toolset-9-elfutils-libs,zlib
anaconda-core,python3-pid
cifs-utils,keyutils-libs
texlive-attachfile,texlive-oberdiek
rootfiles,bash
luksmeta,libluksmeta
pacemaker-nagios-plugins-metadata,pacemaker
java-11-openjdk-javadoc,javapackages-filesystem
plexus-languages,qdox
ruby-libs,zlib
bind,systemd
java-17-openjdk-javadoc,javapackages-filesystem
openssh-keycat,openssh
sonatype-oss-parent,javapackages-filesystem
policycoreutils-dbus,platform-python
freeimage,libpng
ant-apache-bcel,ant
munge-maven-plugin-javadoc,javapackages-filesystem
gnome-disk-utility,cairo
network-scripts,coreutils
ndctl,json-c
kf5-kiconthemes,kf5-kconfig-core
libvirt-daemon-driver-nwfilter,libtirpc
culmus-shofar-fonts,culmus-fonts-common
pcp-import-ganglia2pcp,perl
directory-maven-plugin,javapackages-filesystem
perl-libwww-perl,perl-PathTools
libblockdev-dm,systemd-libs
libblockdev-fs,systemd-libs
389-ds-base-legacy-tools,perl-File-Path
mesa-vdpau-drivers,glibc
gnome-control-center,glib2
vhostmd,libvirt
gcc-toolset-11-annobin-annocheck,rpm-libs
qt5-qtwebengine-examples,libgcc
deepin-boot-maker,qt5-qtsvg
fprintd-pam,libgcc
kf5-kdelibs4support-libs,glibc
evolution-spamassassin,evolution-data-server
dotnet-runtime-6.0,libstdc++
pnm2ppa,glibc
hypervfcopyd,glibc
maven-assembly-plugin,maven-common-artifact-filters
google-noto-sans-syriac-western-fonts,google-noto-fonts-common
gnome-control-center,glibc
perl-IPC-Open3,perl-Exporter
clutter-gst3,libgudev
tigervnc,tigervnc-icons
perl-Mail-DKIM,perl-MailTools
ModemManager,systemd
texlive-texconfig,bash
log4j-jcl,javapackages-filesystem
samba-test-libs,libtalloc
qtchooser,glibc
redhat-lsb-cxx,libstdc++
texlive-context,texlive-luatex
icoutils,perl-Getopt-Long
clang-libs,llvm-libs
netcf-libs,libgpg-error
go-gir-generator,gobject-introspection
phonon-qt5,pulseaudio-libs-glib2
vdo,platform-python
intel-gpu-tools,libXcursor
perl-Getopt-Long,perl-libs
jackson-core,javapackages-filesystem
python3-osbuild,python3-jsonschema
php-fpm,bash
libstdc++,libgcc
php-cli,bash
netpbm-progs,zlib
texlive-adjustbox,texlive-tools
php-fpm,pcre
php-cli,pcre
php-dbg,pcre
maven-dependency-plugin,apache-commons-lang
php-fpm,zlib
amanda-client,amanda
php-xml,zlib
php-cli,zlib
perl-Socket,perl-interpreter
php-dbg,zlib
sssd-ldap,libbasicobjects
perl-DateTime-TimeZone,perl-constant
cheese,libcanberra
gcc-toolset-9-elfutils-libs,gcc-toolset-9-runtime
perl-core,perl-JSON-PP
bind-utils,libxml2
gdm,xorg-x11-server-utils
gstreamer1-plugins-base,pango
help2man,OpenIPMI-perl
libguestfs-appliance,coreutils
ostree-grub2,bash
java-1.8.0-openjdk-fastdebug,alsa-lib
ladspa,libstdc++
java-1.8.0-openjdk-slowdebug,alsa-lib
php-intl,glibc
gnome-terminal-nautilus,gdk-pixbuf2
kf5-kglobalaccel-libs,libstdc++
sushi,libXdamage
file,file-libs
xsom,javapackages-filesystem
perl-Pod-Plainer,perl-libs
qt5-qt3d-examples,libglvnd-glx
p7zip-plugins,libgcc
gnuplot-common,bash
tigervnc-server-minimal,pixman
gtk-vnc2,cyrus-sasl-lib
spamassassin,perl-IO
xorg-x11-drivers,xorg-x11-drv-v4l
qt5-qtwebengine,libxkbcommon
perl-Test2-Suite,perl-Time-HiRes
cogl,pango
bpftrace,zlib
perl-GSSAPI,krb5-libs
mariadb-server-galera,mariadb-common
jemalloc,bash
libXfont2,libfontenc
evolution-pst,p11-kit
tengine,openssl-libs
perl-Module-Build,perl-Carp
pcp-pmda-lustre,perl-PCP-PMDA
pcp-pmda-dbping,perl-PCP-PMDA
perl-String-ShellQuote,perl-libs
gnome-system-monitor,libstdc++
wireshark,libnl3
mdadm,glibc
pcp-pmda-zimbra,perl-PCP-PMDA
libselinux-utils,libselinux
libinput-utils,systemd-libs
geronimo-jms-javadoc,javapackages-filesystem
geronimo-jpa-javadoc,javapackages-filesystem
java-17-openjdk,xorg-x11-fonts-Type1
libavdevice,libxcb
