out,in
opa-address-resolution,libibverbs
libblockdev,glibc
clevis,coreutils
tracker-miners,libvorbis
usbguard-notifier,protobuf
texlive-lua-alt-getopt,texlive-base
hesiod,libidn
gnome-software,fwupd
ibus-sayura,ibus-libs
libreoffice-langpack-zh-Hans,libreoffice-help-zh-Hans
gnome-software,glibc
zimg,glibc
gnome-software,cairo
perl-Test-Simple,perl-IO
hplip,hplip-libs
libguestfs,yajl
rust-toolset,ca-certificates
libXt,libICE
libSM,libICE
mythes-uk,mythes
sssd-ad,libref_array
deepin-log-viewer,systemd-libs
sssd-ldap,libsss_certmap
perl-Digest-CRC,perl-interpreter
gnome-software,glib2
python3-cups,platform-python
gcc-toolset-9-systemtap-server,coreutils
gupnp,libxml2
pam,audit-libs
libreoffice-pdfimport,libreoffice-core
perl-PCP-PMDA,pcp-libs
gnome-control-center,alsa-lib
perl-DateTime-TimeZone,perl-Module-Runtime
kf5-kcrash,kf5-kcoreaddons
maven-script-ant,maven-lib
boost-log,boost-atomic
ipa-client,autofs
libldb,lmdb-libs
libssh,krb5-libs
libomp,llvm-libs
plymouth-scripts,plymouth
jss-javadoc,jss
ongres-scram-client,javapackages-filesystem
pcp-pmda-postgresql,bash
dejavu-sans-fonts,dejavu-fonts-common
maven,jansi
parted,readline
libblockdev,libgcc
perl-ExtUtils-MakeMaker,perl-ExtUtils-Install
inkscape,python2
llvm-libs,zlib
python38-babel,python38
kf5-kidletime,libXScrnSaver
coreutils-single,glibc
perl-libwww-perl,perl-HTTP-Message
at,systemd
webkit2gtk3,libpng
lorax,python3-librepo
hexchat,pango
gnome-initial-setup,gstreamer1
vhostmd,bash
python3-nss,nss
libXrender,libX11
perl-CPAN,perl-libs
libsrtp,openssl-libs
libjose,openssl-libs
redhat-rpm-config,ocaml-srpm-macros
libgit2,openssl-libs
librelp,openssl-libs
samba,popt
fftw-libs-quad,libquadmath
python3-openmpi,openmpi
sssd-common,glibc
gstreamer1-plugins-good,libvorbis
gstreamer1-plugins-base,libvorbis
rsyslog,logrotate
maven-plugin-tools-javadocs,javapackages-filesystem
kf5-kinit,libstdc++
libselinux-ruby,libselinux
pcp-pmda-infiniband,libibumad
kf5-kbookmarks,kf5-kcoreaddons
gedit-plugin-wordcompletion,gtksourceview3
dde-file-manager,dde-desktop
kwin-wayland,libepoxy
cockpit,cockpit-system
system-lsb-core,dnf-plugins-core
perl-Term-Table,perl
pcs,ruby
kf5-kservice,libgcc
rpm-sign,lua-libs
gnome-themes-standard,adwaita-gtk2-theme
gnome-themes-standard,adwaita-icon-theme
scl-utils,rpm-libs
mingw64-freetype,mingw64-pkg-config
mingw32-freetype,mingw32-pkg-config
deepin-diskmanager,glibc
parfait,jackson-annotations
adcli,cyrus-sasl-gssapi
texlive-collection-fontsrecommended,texlive-ec
maven-artifact,javapackages-filesystem
rpm-plugin-systemd-inhibit,dbus-libs
qt5-qtbase-gui,libxkbcommon
libsmbclient,samba-client-libs
rubygem-rake,ruby-libs
evolution-data-server,atk
srt-libs,glibc
python3-tracer,python3-psutil
libpurple,dbus-libs
firewall-applet,python3-qt5-base
clevis-udisks2,jansson
glib-networking,glib2
freeimage,libjpeg-turbo
at,pam
vim-enhanced,bash
python38-chardet,python38-setuptools
dde-launcher,gsettings-qt
sendmail,coreutils
perl-CPAN-Meta-YAML,perl-Scalar-List-Utils
perl-MIME-Types,perl-PathTools
ncurses,glibc
startdde,dde-kwin
libtimezonemap,librsvg2
openblas-serial64_,libgfortran
openblas-openmp64_,libgfortran
epel-rpm-macros,python-rpm-macros
kf5-kplotting,libstdc++
slapi-nis,nspr
rpm-build-libs,elfutils-libs
glib-networking,glibc
maven-resolver-impl,javapackages-filesystem
dde-daemon,cairo-gobject
xorg-x11-fonts-ethiopic,fontconfig
containerd,glibc
perl-SNMP_Session,perl
dbus-x11,glib2
keentune-target,platform-python
perl-Module-Install,perl-ExtUtils-MakeMaker
perl-Crypt-OpenSSL-Random,openssl-libs
texlive-fancybox,texlive-base
scap-workbench,util-linux
autogen,glibc
dbus-x11,glibc
google-noto-sans-old-turkic-fonts,google-noto-fonts-common
emacs,libXcomposite
sound-theme-freedesktop,bash
thunderbird,nspr
python3-libdnf,libdnf
librados2,boost-iostreams
vte291,atk
gnome-calculator,libsoup
gimp-devel-tools,gimp-libs
redhat-lsb-desktop,mesa-libGL
ipa-client,libpwquality
subversion,subversion-libs
texlive-kpathsea,grep
php-fpm,systemd
libselinux-python,glibc
perl-encoding-warnings,perl-Carp
openscap,libyaml
dde-clipboard,libgcc
libvirt-daemon-driver-network,libgcc
dde-clipboard,dtkgui
dde-polkit-agent,polkit-qt5-1
redhat-lsb-core,redhat-lsb-submod-security
python2-tools,python2
gcc,cpp
spamassassin,perl-Scalar-List-Utils
xerces-j2,javapackages-filesystem
ffmpegthumbnailer,zlib
xorg-x11-server-Xdmx,libXfixes
texlive-ms,texlive-latex
dotnet-sdk-2.1.5xx,dotnet-runtime-2.1
php-embedded,php-common
flatpak-session-helper,libgcc
perl-PerlIO-utf8_strict,perl-libs
clufter-lib-general,python3-clufter
cogl,libwayland-egl
fapolicyd,systemd
gnome-abrt,python3-humanize
texlive-knuth-lib,texlive-kpathsea
ncurses-compat-libs,ncurses-base
deepin-shortcut-viewer,dtkwidget
gvfs,gvfs-client
ssar,bash
python3-pcp,python3-libs
dwarves,elfutils-libelf
corosync-qnetd,nspr
boost-numpy3,glibc
texlive-amscls,texlive-amsmath
dde,dde-qt-dbus-factory
anolis-epao-release,anolis-release
boost-fiber,glibc
pcp-testsuite,perl-Getopt-Long
redhat-lsb-languages,perl-ExtUtils-MakeMaker
389-ds-base-legacy-tools,nss-util
perl-File-ShareDir,perl-PathTools
fdo-init,libgcc
veritysetup,popt
kscreenlocker,xcb-util-keysyms
glibc-utils,perl
texlive-oberdiek,texlive-thumbpdf
google-noto-sans-ol-chiki-fonts,google-noto-fonts-common
perl-XML-SAX,perl-Exporter
sssd-ad,libunistring
texlive-breqn,texlive-l3kernel
redhat-rpm-config,go-srpm-macros
texlive-environ,texlive-base
rls,libgcc
libXScrnSaver,glibc
osbuild-composer-core,osbuild-composer-dnf-json
colord-gtk,atk
librados2,boost-program-options
sblim-sfcb,perl-URI
perl-Encode,perl-Carp
perl-Opcode,perl-Carp
ndctl-libs,kmod-libs
iprutils,bash
iptables,bash
xorriso,libisoburn
postfix,systemd
perl-interpreter,gdbm-libs
lightdm-qt5,qt5-qtbase
libvirt-client,libxml2
redhat-support-tool,nmap-ncat
dyninst,libgcc
texlive-context,texlive-pstricks
latex2html,texlive-collection-latexrecommended
evolution-spamassassin,gcr
python38-mod_wsgi,libxcrypt
nbdkit-tmpdisk-plugin,libgcc
perl-NDBM_File,perl-libs
maven-doxia-sitetools,maven-doxia-core
perl-GDBM_File,perl-libs
poppler-glib,libgcc
389-ds-base,cyrus-sasl-plain
perl-ODBM_File,perl-libs
setroubleshoot-server,glibc
khmeros-handwritten-fonts,khmeros-fonts-common
ostree,libcurl
java-1.8.0-alibaba-dragonwell-headless-slowdebug,libjpeg-turbo
libgio-qt,libgcc
zenity,pango
vim-X11,gpm-libs
evolution-data-server,bash
ipa-server,libsss_certmap
anaconda-widgets,pango
java-atk-wrapper,atk
php-pecl-rrd,rrdtool
texlive-texlive.infra,texlive-base
texlive-collection-fontsrecommended,texlive-euro
python38-packaging,python38-six
perl-JSON-XS,perl-Getopt-Long
perl-JSON-PP,perl-Getopt-Long
perl-Parse-Yapp,perl-Carp
nbdkit,nbdkit-server
pygtk2,gdk-pixbuf2
gtksourceview3,cairo-gobject
bitmap-fixed-fonts,fontpackages-filesystem
texlive-listings,texlive-graphics
kf5-kdeclarative,kf5-kpackage
ostree,libgcc
perl-IO-All,perl-interpreter
kyotocabinet-libs,libstdc++
libnetfilter_queue,libnfnetlink
python3-gobject,gobject-introspection
iscsi-initiator-utils,isns-utils-libs
openssh-keycat,libselinux
cloud-init,python3-jsonschema
tigervnc-server-minimal,gnutls
bind9.16,protobuf-c
libgpg-error,glibc
tigervnc-server-minimal,nettle
pcp-pmda-lio,bash
pcp-pmda-bcc,bash
avahi,avahi-libs
maven-wagon-providers,java-1.8.0-openjdk-headless
fontforge,xdg-utils
php-cli,libstdc++
php-dbg,libstdc++
fence-agents-drac5,openssh-clients
pcp-pmda-gluster,python3-pcp
oscap-anaconda-addon,openscap-utils
perl-GSSAPI,perl-constant
OpenIPMI-lanserv,glibc
bsh,bash
evince-libs,libarchive
firewalld,iptables
rpm-ostree-libs,json-glib
perl-prefork,perl-libs
redhat-lsb-printing,redhat-lsb-core
opa-basic-tools,libgomp
php-fpm,glibc
php-dba,glibc
brlapi,util-linux
php-xml,glibc
php-gmp,glibc
libpmemlog,daxctl-libs
sssd-dbus,sssd-common
php-cli,glibc
tuned,gawk
google-noto-sans-lao-fonts,fontpackages-filesystem
google-noto-sans-vai-fonts,fontpackages-filesystem
dde,dde-session-ui
weld-parent,maven-source-plugin
gcc-toolset-11-gdb,xz-libs
gcc-toolset-10-gdb,xz-libs
dde-dock,dde-network-utils
xinetd,libselinux
perl-Unicode-LineBreak,perl-Carp
kf5-kpty,libgcc
mingw32-readline,mingw32-crt
mingw64-readline,mingw64-crt
python3-lesscpy,python3-ply
perl-local-lib,perl
munge,logrotate
rpm-build,redhat-rpm-config
abrt-dbus,polkit-libs
texlive-xetex,fontconfig
bind,libcom_err
gnuplot-common,zlib
mutt,libidn2
vinagre,gtk3
libguestfs,libdb-utils
gtk3,cups-libs
gtk2,cups-libs
ssar,zlib
perl,perl-CPAN
policycoreutils-sandbox,platform-python
pnm2ppa,bash
libX11-xcb,glibc
php-embedded,openssl-libs
perl-DirHandle,perl-libs
libreoffice-calc,librevenge
perl-Devel-CallChecker,perl-Exporter
libproxy-webkitgtk4,libproxy
fxload,systemd-udev
groff-base,libstdc++
guice-extensions,maven-plugin-bundle
qt5-qtx11extras,qt5-qtbase
PackageKit-gstreamer-plugin,gstreamer1
fence-agents-all,fence-agents-sbd
exec-maven-plugin,javapackages-filesystem
usbguard-dbus,libgcrypt
libmount,libblkid
python3-policycoreutils,policycoreutils
libfdisk,libblkid
usbguard,libstdc++
kf5-plasma,kf5-knotifications
mod_auth_openidc,jq
bc,ModemManager
libblockdev-mpath,libblockdev-utils
python3-slip-dbus,python3-six
bind-export-libs,libcom_err
libvirt-daemon-driver-storage-logical,libvirt-libs
python3-libreport,python3-dnf
kf5-kdeclarative,libstdc++
gawk,libsigsegv
gnome-control-center,pango
libpurple,dbus-glib
udisks2-iscsi,udisks2
tigervnc-server-module,glibc
libguestfs-appliance,cryptsetup
wpa_supplicant,glibc
dde-network-utils,libgcc
baobab,gtk3
perl-Term-Cap,perl-Carp
perl-Params-Classify,perl-libs
qt5-qtcanvas3d-examples,libgcc
php-bcmath,php-common
zssh,glibc
eclipse-ecf-core,httpcomponents-core
perl-XML-SAX,bash
libwnck3,libXext
libvdpau,libXext
amanda,openssl-libs
libvirt-daemon-driver-storage-gluster,glib2
pidgin,libSM
perl-Path-Tiny,perl-Carp
perl-Module-Pluggable,perl-libs
icedtea-web,bash
libguestfs-appliance,sed
gcc-toolset-9-systemtap-server,avahi-libs
sendmail,libnsl2
qt5-qtquickcontrols-examples,qt5-qtquickcontrols
samba-common-tools,platform-python
net-snmp,libxcrypt
gcc-toolset-9-elfutils,gcc-toolset-9-runtime
lightdm,systemd
istack-commons,jvnet-parent
libisoburn,libisofs
pcp-testsuite,pcp-pmda-weblog
gavl,glibc
LibRaw,jasper-libs
lsof,libselinux
libvirt-daemon-driver-storage-gluster,glibc
rust,389-ds-base
nbdkit,nbdkit-basic-filters
dde-api,systemd
colord-gtk,gdk-pixbuf2
deepin-compressor,p7zip-plugins
ppp,libpcap
fcitx-gtk2,pango
openbox-libs,fontconfig
pcp-export-pcp2elasticsearch,pcp-libs
java-1.8.0-openjdk-headless-slowdebug,cups-libs
cronie,bash
pcp-pmda-rsyslog,pcp
pcp-pmda-bonding,pcp
maven-plugin-annotations,maven-plugin-registry
rpm-plugin-ima,xz-libs
python3-qt5-base,libstdc++
perl-Pod-Perldoc,ModemManager
munge,bzip2-libs
accountsservice,bash
pcp-libs,systemd-libs
python3-createrepo_c,python3-libs
gom,sqlite-libs
libblockdev-part,gdisk
urlview,bash
perl-IO-Multiplex,perl-Time-HiRes
redhat-lsb-languages,python36
maven-invoker-plugin,maven-model
deepin-system-monitor,libstdc++
fapolicyd,bash
pcp-testsuite,pcp-gui
evolution,evolution-langpacks
lucene++,libgcc
libxml++,libgcc
gstreamer1-plugins-base,libglvnd-egl
ibus-hangul,libhangul
inkscape-view,fontconfig
maven-plugin-tools-generators,velocity
dnf-plugin-releasever-adapter,python3-dnf
kf5-kwayland,glibc
perl-Text-Abbrev,perl-Exporter
perl-IO-Socket-IP,perl-Errno
grub2-tools-extra,file
texlive-colortbl,texlive-graphics
apache-commons-net-javadoc,javapackages-filesystem
pulseaudio,libtool-ltdl
qemu-kvm-hw-usbredir,glibc
freerdp-libs,libwayland-client
mingw32-icu,mingw32-pkg-config
java-1.8.0-openjdk-slowdebug,java-1.8.0-openjdk-headless-slowdebug
pcm,libgcc
pcs,libgcc
opencv-contrib,libgomp
texlive-bidi,texlive-fancyhdr
libproxy-gnome,libproxy
gnome-system-monitor,glibc
perl-I18N-Langinfo,glibc
keyutils,bash
gnome-shell,xdg-desktop-portal-gtk
f32-backgrounds-xfce,f32-backgrounds-base
gnome-online-accounts,gdk-pixbuf2
evolution-data-server,libgweather
perl-Module-Load-Conditional,perl-Locale-Maketext-Simple
perl-MailTools,perl-Net-SMTP-SSL
texlive-jadetex,texlive-passivetex
fence-agents-all,fence-agents-redfish
amanda-client,libcom_err
perl-File-Slurp,perl-Errno
certmonger,bash
sssd-common-pac,libldb
pesign,bash
xorg-x11-xkb-utils,glibc
gnome-system-monitor,glib2
mpv-libs,libXext
gcc,gmp
gnome-common,bash
grub2-common,bash
glibc-common,bash
dnssec-trigger-panel,ldns
evolution-spamassassin,nspr
grilo,totem-pl-parser
deepin-pw-check,iniparser
texlive-fpl,texlive-kpathsea
dhcp-server,sed
dde-qt5integration,qt5-qtbase-gui
gsound,glib2
abrt-addon-pstoreoops,abrt-libs
git-all,git-instaweb
perl-Date-Manip,perl-Exporter
httpcomponents-client,apache-commons-logging
perl-Sys-MemInfo,perl-Exporter
pinentry,info
pulseaudio-utils,pulseaudio-libs
gsound,glibc
ipa-server,platform-python
gnome-control-center,cheese-libs
po4a,perl-Encode
grub2-efi-x64,grub2-common
abrt-desktop,abrt-addon-xorg
splix,cups
kpatch-dnf,python3-dnf
kf5-kglobalaccel,kf5-kcrash
kf5-kdelibs4support-libs,kf5-ki18n
kf5-kdelibs4support-libs,kf5-solid
kf5-kdelibs4support-libs,kf5-kauth
pki-server,shadow-utils
pcp-pmda-statsd,openssl-libs
git-svn,perl-Carp
python3-libcomps,zlib
pcp-pmda-apache,openssl-libs
python3-pip,389-ds-base
scrub,libgcrypt
cronie-anacron,cronie
dde,deepin-menu
python3-azure-sdk,python3-jwt
ndctl,keyutils-libs
xapian-core-libs,libstdc++
maven-lib,javapackages-tools
sssd-common,libini_config
texinfo,perl-Data-Dumper
python39-idle,chkconfig
gcc-toolset-10-systemtap-server,chkconfig
gcc-toolset-11-systemtap-server,chkconfig
system-lsb-cxx,system-lsb-core
sed,libselinux
libreoffice-langpack-id,hunspell-id
perl-IPC-Run,perl-Carp
kernel-tools-libs,bash
gcc-toolset-9-dyninst,tbb
plasma-breeze,qt5-qtx11extras
abrt-addon-kerneloops,abrt-libs
rear,ethtool
perl-DateTime-Format-Strptime,perl-Try-Tiny
libzip-tools,glibc
lksctp-tools,glibc
gnome-online-accounts,libsecret
libreport-gtk,systemd-libs
libreport-cli,systemd-libs
libreport-web,systemd-libs
perl-HTML-Tree,perl-Pod-Usage
qt5-qtsvg-examples,libgcc
python3-libnbd,libxml2
perl-Devel-Symdump,perl-interpreter
cyrus-sasl,libcom_err
libvirt-daemon-config-nwfilter,libvirt-daemon
bind-sdb,libpq
clucene-contribs-lib,libgcc
anaconda-widgets,libxklavier
vim-minimal,ncurses-libs
quota-rpc,systemd
rasdaemon,dmidecode
python3-iniparse,python3-six
texlive-attachfile,texlive-hyperref
python3-packaging,python3-six
autofs,xz-libs
tk,freetype
frr,net-snmp
gcc-toolset-11-strace,gcc-toolset-11-runtime
texlive-filecontents,texlive-kpathsea
gvfs-afc,p11-kit
kf5-kauth,polkit-qt5-1
kwin-common,glibc
rpm-plugin-systemd-inhibit,libacl
gimp,xdg-utils
postfix-mysql,postfix
maven-doxia-module-xdoc,plexus-containers-component-annotations
metacity,gdk-pixbuf2
perl-ExtUtils-Manifest,perl-libs
maven-surefire,maven-lib
boost-openmpi-python3,boost-serialization
cups-pk-helper,glib2
createrepo_c-libs,glib2
cmake-gui,libarchive
perl-DateTime,perl-Scalar-List-Utils
graphite2,libstdc++
libblockdev-plugins-all,libblockdev-loop
google-noto-sans-gothic-fonts,google-noto-fonts-common
google-noto-sans-kaithi-fonts,google-noto-fonts-common
google-noto-sans-coptic-fonts,google-noto-fonts-common
google-noto-sans-carian-fonts,google-noto-fonts-common
libvirt-client,readline
google-noto-sans-ugaritic-fonts,google-noto-fonts-common
google-noto-sans-ethiopic-fonts,google-noto-fonts-common
cups-pk-helper,glibc
createrepo_c-libs,glibc
perl-core,perl-Pod-Parser
kernel-rpm-macros,perl
metis,libgcc
httpd-tools,libxcrypt
gnome-system-monitor,atk
firewall-applet,libnotify
mutter,startup-notification
kf5-kglobalaccel,kf5-kcoreaddons
kf5-kglobalaccel,kf5-kdbusaddons
dotnet-runtime-2.1,libgcc
deepin-screen-recorder,libXfixes
texlive-texconfig,texlive-base
gnome-settings-daemon,cairo
libmatchbox,zlib
perltidy,perl-Exporter
maven-shared-io-javadoc,javapackages-filesystem
gstreamer1-plugins-bad-free,libdrm
evolution-data-server,openldap
anaconda-core,python3-libselinux
texlive-luaotfload,texlive-lua-alt-getopt
torque,coreutils
texlive-cmap,texlive-kpathsea
texlive-tex,texlive-base
texlive-cite,texlive-kpathsea
dpdk-tools,findutils
qt5-qtbase,qt5-qtbase-common
openblas-threads64,libgfortran
java-1.8.0-alibaba-dragonwell,libXtst
openldap-servers,cracklib
python3-pyodbc,unixODBC
netcf-libs,libxml2
ipa-server-trust-ad,python36
perl-IPC-Run,perl-IO
phonon-qt5,qt5-qtbase
rrdtool-perl,rrdtool
libreoffice-graphicfilter,librevenge
xorg-x11-server-utils,libXxf86vm
kwin-libs,kf5-kcrash
pacemaker-cli,libxslt
LibRaw,libgcc
webkit2gtk3,sqlite-libs
gnome-control-center,glx-utils
gnome-control-center,libwacom
gcc-toolset-11-gdb,libipt
maven-plugin-plugin,maven-model
gcc-toolset-10-gdb,libipt
samba-vfs-iouring,samba
swtpm-tools-pkcs11,gnutls-utils
php-enchant,enchant
emacs,pango
java-1.8.0-alibaba-dragonwell-headless-fastdebug,bash
openssh-askpass,glib2
mesa-vulkan-drivers,expat
shared-mime-info,libxml2
protobuf,libgcc
qemu-kvm-core,numactl-libs
pacemaker-cli,libxml2
rar,libgcc
texlive-collection-basic,texlive-updmap-map
ostree,gpgme
tftp-server,systemd
systemd-libs,bash
openssh-askpass,glibc
pcp-pmda-ds389log,perl-Date-Manip
perl-Socket6,perl-Carp
gcc-toolset-9-dwz,glibc
gssproxy,libref_array
texlive-texlive.infra,perl
perl-Digest-HMAC,perl-Digest-SHA
google-noto-sans-ol-chiki-fonts,bash
perl-IPC-System-Simple,perl-Exporter
createrepo_c-libs,drpm
rpm-ostree,bash
spice-glib,gstreamer1-plugins-base
abrt-console-notification,abrt-cli
gnome-online-accounts,gtk3
libvirt-libs,cyrus-sasl-gssapi
kf5-plasma,kf5-kconfig-gui
xinetd,setup
python3-abrt,libreport
glx-utils,libglvnd-glx
elfutils-libs,zlib
grub2-efi-x64,efi-filesystem
freeradius-utils,libpcap
perl-Pod-Functions,perl-Exporter
rrdtool,bash
devhelp-libs,gdk-pixbuf2
perl-MIME-Base64,perl-interpreter
gcc-toolset-11-systemtap-client,elfutils-libs
gcc-toolset-10-systemtap-client,elfutils-libs
nginx-mod-http-xslt-filter,bash
maven-plugin-descriptor,javapackages-filesystem
postgresql-server,glibc
gstreamer1-plugins-good-gtk,pango
pcp-pmda-podman,libuv
hplip,bash
pcp-pmda-docker,libuv
kf5-kio-file-widgets,libgcc
gcc-toolset-11-gdb-gdbserver,libgcc
perl-DateTime-Format-ISO8601,perl-libs
perl-Path-Tiny,perl-Digest-MD5
galera,boost-program-options
gcc-toolset-10-gdb-gdbserver,libgcc
net-snmp-perl,glibc
net-snmp-libs,glibc
pcp-system-tools,bash
plymouth-graphics-libs,anolis-logos
composer-cli,python3-urllib3
fence-agents-ibmblade,net-snmp-utils
redhat-lsb-desktop,libICE
perl-AnyEvent,perl-File-Temp
system-lsb-core,at
libnetfilter_conntrack,glibc
targetcli,python3-dbus
aom,libstdc++
bind9.16-utils,libcom_err
lightdm-gtk,bash
java-1.8.0-openjdk-headless-slowdebug,chkconfig
gtk3,freetype
libreoffice-graphicfilter,libgcc
gtk2,freetype
iptraf-ng,ncurses-libs
ipa-server,python36
pki-base-java,xalan-j2
texlive-hyperref,texlive-zapfding
system-lsb-languages,perl-CPAN
mingw64-gstreamer1,mingw64-winpthreads
mingw32-gstreamer1,mingw32-winpthreads
kf5-kcompletion,kf5-kconfig-core
maven-local,javapackages-tools
java-1.8.0-openjdk-accessibility-fastdebug,java-1.8.0-openjdk-fastdebug
gcc-toolset-10-valgrind,glibc
gcc-toolset-11-valgrind,glibc
bsdtar,bzip2-libs
bsdcat,bzip2-libs
tengine,jemalloc
python3-sphinx,python-sphinx-locale
texlive-iftex,texlive-base
texlive-index,texlive-base
gnome-settings-daemon,geocode-glib
augeas-libs,libxml2
freerdp-libs,libX11
system-config-printer-libs,gtk3
texlive-pstricks,texlive-bera
socket_wrapper,pkgconf-pkg-config
cyrus-imapd-utils,libpq
libchardet,glibc
rpm-ostree,rpm-libs
pidgin,libidn
perl,perl-Time
libreoffice-langpack-pt-BR,mythes-pt
perl-autodie,perl-Scalar-List-Utils
gtkspell,freetype
f32-backgrounds,f32-backgrounds-mate
sssd-proxy,systemd-libs
rhythmbox,cairo-gobject
openbox,libXrandr
pcp-testsuite,pcp-pmda-oracle
libsigc++20,glibc
hunspell,ncurses-libs
kf5-kdelibs4support,kde-settings
startdde,golang-github-mozillazg-pinyin
perl-File-Fetch,perl-Locale-Maketext-Simple
evince,cairo-gobject
unique,gtk2
clang-analyzer,perl-Text-ParseWords
mingw64-zlib,mingw64-pkg-config
libnotify,glibc
bind-sdb,libcap
libbluray,glibc
gnome-characters,glib2
metacity,libcanberra-gtk3
NetworkManager-wwan,glibc
kexec-tools,anaconda-dracut
libvirt-daemon-driver-secret,libtirpc
kf5-sonnet,kf5-sonnet-core
hyphen,glibc
python38-mod_wsgi,glibc
qt5-qtbase-gui,xcb-util-image
httpd-manual,httpd
bind-chroot,bind
qt5-qtwebengine,qt5-qtdeclarative
libvncserver,libgcrypt
glade-libs,webkit2gtk3
xorg-x11-fonts-cyrillic,xorg-x11-font-utils
ldapjdk,slf4j
libnotify,glib2
libpurple,nss
perl-NDBM_File,glibc
gnome-characters,glibc
perl-GDBM_File,glibc
systemtap-runtime,glibc
perl-ODBM_File,glibc
webkit2gtk3,libjpeg-turbo
NetworkManager-wwan,glib2
gd,fontconfig
kata-containers,kernel
pcs,ruby-libs
evolution,psmisc
avahi-compat-libdns_sd,dbus-libs
fence-agents-wti,fence-agents-common
libpmemblk,ndctl-libs
texlive-latex,texlive-latex-fonts
maven-verifier,junit
perl-Params-Validate,perl-interpreter
kf5-kcmutils,kf5-ki18n
qt5-qtsensors-examples,qt5-qtsensors
kwin,kwin-libs
frei0r-plugins,gavl
qt5-qtwayland,qt5-qtbase
gstreamer1-plugins-bad-free,gsm
xmlsec1-gnutls,libgpg-error
systemtap-client,libstdc++
mariadb-embedded,systemd-libs
libreport-gtk,glib2
libreport-cli,glib2
libreport-web,glib2
cpp,gmp
bpftrace,elfutils-libelf
mpv,libjpeg-turbo
texlive-url,texlive-kpathsea
texlive-uhc,texlive-kpathsea
xbean,log4j12
google-noto-sans-hanunoo-fonts,fontpackages-filesystem
openssh,libselinux
plexus-compiler,plexus-utils
texlive-mathspec,texlive-base
google-noto-sans-cypriot-fonts,fontpackages-filesystem
fprintd,polkit-libs
sssd-client,libsss_idmap
gnome-shell-extension-dash-to-dock,gnome-shell-extension-common
babel,python2
spamassassin,perl-PathTools
boost,boost-program-options
pygobject2-codegen,bash
alsa-plugins-oss,glibc
libreoffice-filters,libreoffice-ure
gcc-toolset-10-dyninst,glibc
gcc-toolset-11-dyninst,glibc
java-1.8.0-openjdk,xorg-x11-fonts-Type1
texlive-pst-coil,texlive-base
texlive-pst-fill,texlive-base
gcc-toolset-11-elfutils-libs,glibc
texlive-parallel,texlive-base
gcc-toolset-10-elfutils-libs,glibc
libreport-gtk,glibc
felix-gogo-shell,javapackages-filesystem
libreport-cli,glibc
libreport-web,glibc
rubygem-rspec-core,rubygems
maven-plugin-build-helper-javadoc,javapackages-filesystem
perl-Parse-Yapp,ModemManager
sisu,plexus-utils
udisks2-lsm,glib2
perl-Devel-StackTrace,perl-Scalar-List-Utils
perl-JSON-XS,perl-Storable
GeoIP-GeoLite-data,bash
389-ds-base,perl-Getopt-Long
radvd,glibc
squashfs-tools,glibc
gdb-headless,readline
libreoffice-gdb-debug-support,gdb
jose,libjose
gcc-toolset-11-gcc-gfortran,libzstd
gcc-toolset-10-gcc-gfortran,libzstd
grilo-plugins,pkgconf-pkg-config
gdm,bash
tpm-tools-pkcs11,openssl-libs
pcp-pmda-dm,bash
pcp-testsuite,perl-PCP-LogImport
qt5-qttools-libs-designer,qt5-qtbase
udisks2-lsm,glibc
cyrus-sasl,libdb
urw-base35-gothic-fonts,fontconfig
smartmontools,libcap-ng
redhat-lsb-desktop,pango
ruby-libguestfs,ruby-libs
pacemaker-libs,bzip2-libs
libarchive,libacl
cogl,libdrm
dpdk,numactl-libs
nftables,gmp
libvirt-libs,audit-libs
tesseract-langpack-por,tesseract
deepin-font-manager,libgcc
hunspell-si,hunspell
tesseract-langpack-pan,tesseract
vsftpd,pam
gegl04,gdk-pixbuf2
librados2,boost-regex
graphviz-python3,glibc
qt5-qtwayland,libgcc
ipa-client,openldap
ldns,glibc
perl-Specio,perl-Eval-Closure
gcc-toolset-11-gcc-gfortran,gcc-toolset-11-gcc
gcc-toolset-10-gcc-gfortran,gcc-toolset-10-gcc
mariadb,zlib
maven-doxia-sitetools,maven-doxia-module-fml
NetworkManager-libreswan,dbus
llvm,llvm-libs
kacst-qurn-fonts,kacst-fonts-common
lldb,llvm-libs
texlive-powerdot,texlive-ifxetex
bind9.16-libs,fstrm
geoipupdate,libcurl
qt5-qtwayland,libX11
pki-server,policycoreutils-python-utils
python3-dnf-plugin-post-transaction-actions,python3-dnf-plugins-core
hwloc-gui,libX11
tang,libgcc
dde-network-utils,glibc
mingw64-libpng,mingw64-crt
mingw64-libffi,mingw64-crt
java-11-alibaba-dragonwell-headless-slowdebug,chkconfig
dde-device-formatter,glibc
xmlunit,junit
samba-pidl,perl-Getopt-Long
perl-threads,glibc
lzop,lzo
perl-DateTime-Format-ISO8601,perl-Carp
urw-base35-fonts,urw-base35-nimbus-roman-fonts
devhelp-libs,cairo
neon,openssl-libs
linuxdoc-tools,perl-Exporter
platform-python,glibc
perl-core,perl-perlfaq
texlive-cm,texlive-hyphen-base
shim-ia32,efi-filesystem
mesa-libGL,libX11-xcb
deepin-menu,dtkcore
perl-File-Compare,perl-Exporter
kf5-frameworkintegration,glibc
perl-Module-Metadata,perl
