idx,name,y_true,y_predict,跨层依赖数,被跨层依赖数,分类错误,反向依赖数,被反向依赖数
224,deepin-default-settings,其它,其它,0,0,0,0,0
225,deepin-desktop-base,其它,其它,0,0,0,0,0
226,deepin-desktop-schemas,其它,其它,0,0,0,0,0
227,deepin-devicemanager,其它,其它,0,0,0,0,0
228,deepin-diskmanager,其它,其它,0,0,0,0,0
229,deepin-editor,其它,其它,0,0,0,0,0
230,deepin-fcitxconfigtool-plugin,其它,其它,0,0,0,0,0
231,deepin-font-manager,其它,其它,0,0,0,0,0
232,deepin-gettext-tools,其它,其它,0,0,0,0,0
233,deepin-gtk-theme,其它,其它,0,0,0,0,0
234,deepin-icon-theme,其它,其它,0,0,0,0,0
235,deepin-image-viewer,其它,其它,0,0,0,0,0
236,deepin-log-viewer,其它,其它,0,0,0,0,0
237,deepin-manual,其它,应用,0,0,-1,0,0
238,deepin-menu,其它,其它,0,0,0,0,0
239,deepin-picker,其它,其它,0,0,0,0,0
240,deepin-pw-check,其它,应用,0,0,-1,0,0
241,deepin-reader,其它,应用,0,0,-1,0,0
242,deepin-screen-recorder,其它,其它,0,0,0,0,0
243,deepin-shortcut-viewer,其它,其它,0,0,0,0,0
244,deepin-sound-theme,其它,其它,0,0,0,0,0
245,deepin-system-monitor,其它,应用,0,0,-1,0,0
246,deepin-terminal,其它,其它,0,0,0,0,0
247,deepin-turbo,其它,其它,0,0,0,0,0
248,deepin-wallpapers,其它,其它,0,0,0,0,0
249,dejagnu,应用,核心,1,0,-1,0,0
250,dejavu-fonts,其它,其它,0,0,0,0,0
251,desktop-file-utils,其它,其它,0,0,0,0,0
252,devhelp,应用,系统,0,0,-1,0,0
253,device-mapper-multipath,应用,其它,0,0,1,0,0
254,device-mapper-persistent-data,应用,应用,0,0,0,0,0
255,dhcp,系统,系统,0,0,0,3,0
256,dialog,应用,应用,1,0,0,0,0
257,diffstat,应用,应用,1,0,0,0,0
258,diffutils,系统,系统,0,0,0,0,0
259,ding-libs,系统,应用,0,0,1,0,0
260,disomaster,应用,应用,0,0,0,0,0
261,djvulibre,应用,应用,0,0,0,0,0
262,dleyna-connector-dbus,应用,应用,0,0,0,0,0
263,dleyna-core,应用,应用,0,0,0,0,0
264,dleyna-renderer,应用,应用,0,0,0,0,0
265,dleyna-server,应用,应用,0,0,0,0,0
266,dlm,应用,核心,1,0,-1,0,1
267,dmidecode,系统,核心,0,0,-1,0,0
268,dnf,系统,核心,0,0,-1,5,0
269,dnf-plugins-core,系统,应用,0,0,1,0,0
270,dnssec-trigger,应用,其它,0,0,1,0,0
271,docbook-dtds,应用,应用,0,0,0,0,0
272,docbook-style-dsssl,应用,应用,0,0,0,0,0
273,docbook-style-xsl,应用,应用,0,0,0,0,0
